2.300000000000000000e+01,2.469137696999999854e+00,1.023919509000000119e+02,6.503355408000000182e+01
2.400000000000000000e+01,2.469138024999999903e+00,1.023917950000000019e+02,6.643239594000000636e+01
2.500000000000000000e+01,2.469138091000000035e+00,1.023922550000000058e+02,6.435488891999999339e+01
2.600000000000000000e+01,2.469138286999999821e+00,1.023917186000000044e+02,6.606250000000000000e+01
2.700000000000000000e+01,2.469138352999999952e+00,1.023921014999999954e+02,6.405124664000000223e+01
2.800000000000000000e+01,2.469138352999999952e+00,1.023920264000000060e+02,6.447069549999999083e+01
2.900000000000000000e+01,2.469138484000000133e+00,1.023918724000000111e+02,6.507563781999999719e+01
3.000000000000000000e+01,2.469138614999999870e+00,1.023921775999999966e+02,6.374792098999999723e+01
3.100000000000000000e+01,2.469139139999999788e+00,1.023923333999999983e+02,6.492510986000000628e+01
3.200000000000000000e+01,2.469140190000000068e+00,1.023924024000000088e+02,6.626799010999999950e+01
