1.000000000000000000e+00,2.469003986999999789e+00,1.023917227000000025e+02,6.573661040999999727e+01
2.000000000000000000e+00,2.469004795000000030e+00,1.023917962000000017e+02,6.517223357999999678e+01
3.000000000000000000e+00,2.469004926999999849e+00,1.023920279999999963e+02,6.417397307999999612e+01
4.000000000000000000e+00,2.469005058000000030e+00,1.023921801999999985e+02,6.377511977999999715e+01
5.000000000000000000e+00,2.469005058000000030e+00,1.023923332000000102e+02,6.530157470999999703e+01
6.000000000000000000e+00,2.469005319999999948e+00,1.023924829999999986e+02,6.642469024999999760e+01
7.000000000000000000e+00,2.469005451000000129e+00,1.023919498000000061e+02,6.345361709999999533e+01
8.000000000000000000e+00,2.469005516999999816e+00,1.023918754000000035e+02,6.515810394000000372e+01
9.000000000000000000e+00,2.469005844999999866e+00,1.023922555000000045e+02,6.452774811000000454e+01
1.000000000000000000e+01,2.469006369999999784e+00,1.023921025000000071e+02,6.334932709000000273e+01
1.100000000000000000e+01,2.469006369999999784e+00,1.023924082000000055e+02,6.605679320999999504e+01
