2.909695616	101.6554791	1
2.90966275	101.6553754	1
2.909631949	101.6552696	1
2.909490819	101.6552112	3
2.909519351	101.6553045	3
2.909550064	101.6554041	3
2.909587059	101.6555035	3
2.909486995	101.6555361	5
2.909460498	101.6554386	5
2.909429668	101.6553307	5
2.909390521	101.6552271	5
2.909360129	101.6551505	5
2.909247239	101.6551645	7
2.909280134	101.6552703	7
2.909317041	101.6553635	7
2.909345719	101.6554673	7
2.909372333	101.6555731	7
2.9091388	101.6551973	9
2.909182222	101.6553071	9
2.909225469	101.6554044	9
